CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
210332391_5054764:P5054764-A,210332391,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1345236933, 34.0977829772]}","bytearray(b""\x01\x01\x00\x00\x00\xae\xd0C\t\x9c\x88]\xc0\xfa\x96\x10\'\x84\x0cA@"")"
42981642_1430547E$1430546E,42981642,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1268028736, 34.1000178881]}",bytearray(b'\x01\x01\x00\x00\x00\xa7\xc9\xcc\x89\x1d\x88]\xc0\xc63\xdbb\xcd\x0cA@')
5002129:RCS0631-3,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1261001129, 34.1025890823]}",bytearray(b'\x01\x01\x00\x00\x00[;5\x06\x12\x88]\xc0\xdc\xb3\x98\xa3!\rA@')
43018475_5054768:B5054768-1,43018475,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1333756146, 34.0974379108]}",bytearray(b'\x01\x01\x00\x00\x00\x9e\xb2\xdf9\x89\x88]\xc0f#p\xd8x\x0cA@')
55295934_GS0609-1$GS0610-3,55295934,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1357164655, 34.0984981105]}",bytearray(b'\x01\x01\x00\x00\x00z6\x1d\x94\xaf\x88]\xc0\\\xa8\t\x96\x9b\x0cA@')
5054767:B5054767-2,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1342934325, 34.097261019], [-118.1343928945, 34.0972883695]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xed){C\x98\x88]\xc0\xec\xe3\x8f\x0cs\x0cA@N\xac\xa7\xe4\x99\x88]\xc0O\xa4\xfe\xf1s\x0cA@')
42981752_1387682E$1430538E,42981752,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1287288609, 34.0988239367]}",bytearray(b'\x01\x01\x00\x00\x00z\xe7\xf9\x17=\x88]\xc0 \x18DC\xa6\x0cA@')
1430548E:42981499,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1272702086, 34.1006864148], [-118.1272726898, 34.1005837652]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00K\xec\xf11%\x88]\xc0\xd7[\xddJ\xe3\x0cA@[\x17Z<%\x88]\xc0r\x05\xc7\xed\xdf\x0cA@')
42998409_GS0610-1$GS0627-1,42998409,TERMINAL,"{'type': 'Point', 'coordinates': [-118.134290026, 34.0991732756]}",bytearray(b'\x01\x01\x00\x00\x00Vv15\x98\x88]\xc0k\xab\xbb\xb5\xb1\x0cA@')
CAB_5054764:P5054764,-999999,UG_TRANSFORMER_LOCATION,"{'type': 'Polygon', 'coordinates': [[[-118.1344443083, 34.0978296924], [-118.1346064356, 34.0978255051], [-118.1345989192, 34.0976269987], [-118.1344367923, 34.0976311859], [-118.1344443083, 34.0978296924]]]}",bytearray(b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\n\xd2L\xbc\x9a\x88]\xc0\xc6\xb7\xf0\xae\x85\x0cA@\xec\xaeOd\x9d\x88]\xc0A\x8f\xd0\x8b\x85\x0cA@\x9f\x02\xc9D\x9d\x88]\xc0\xc3O\x9f\n\x7f\x0cA@\xb0\x93\xc6\x9c\x9a\x88]\xc0NA\xbf-\x7f\x0cA@\n\xd2L\xbc\x9a\x88]\xc0\xc6\xb7\xf0\xae\x85\x0cA@')
4761140E:54028390,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.146100288, 34.1011075271], [-118.1461027441, 34.1010048771]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00[\xb9\x05\xb5Y\x89]\xc0\x10#i\x17\xf1\x0cA@\xfc\xf0R\xbfY\x89]\xc0\xc5\xf0Q\xba\xed\x0cA@')
1658474E:55295556,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1440500084, 34.0934977641]}",bytearray(b'\x01\x01\x00\x00\x00B\xc4\x86\x1d8\x89]\xc0\x81\x87\x17\xbc\xf7\x0bA@')
CAB_4462456E:4462456E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1461873268, 34.0996099358]}","bytearray(b'\x01\x01\x00\x00\x00\x86\xec\x16""[\x89]\xc0\x0fO\xb4\x04\xc0\x0cA@')"
55295584_5003349:GS0625-2,55295584,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1418455721, 34.0985907648]}",bytearray(b'\x01\x01\x00\x00\x00\x1fPs\xff\x13\x89]\xc0w@G\x9f\x9e\x0cA@')
CAB_5002091:GS0609,-999999,UG_SWITCH_LOCATION,"{'type': 'Point', 'coordinates': [-118.1357993259, 34.0984994704]}",bytearray(b'\x01\x01\x00\x00\x00\xcc\xe3\xa7\xef\xb0\x88]\xc0J\x05r\xa1\x9b\x0cA@')
174139656_174139668$174139652,174139656,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1303942894, 34.1006705706]}",bytearray(b'\x01\x01\x00\x00\x00\xb9#JaX\x88]\xc0\xc62\xf4\xc5\xe2\x0cA@')
4534422E:42981674,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.129592679, 34.1001208508], [-118.1295951571, 34.1000182012]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xc9\x86\x17?K\x88]\xc0\xb7\xea\x91\xc2\xd0\x0cA@\xba]|IK\x88]\xc0R\x94{e\xcd\x0cA@')
206573398_ND206573398$4761140E,206573398,TERMINAL,"{'type': 'Point', 'coordinates': [-118.14609954, 34.1011611537]}",bytearray(b'\x01\x01\x00\x00\x00\xae\x90\xe2\xb1Y\x89]\xc01bC\xd9\xf2\x0cA@')
CAB_1387680E:1387680E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1294271025, 34.0998701261]}",bytearray(b'\x01\x01\x00\x00\x00\x07\x1d\x9d\x88H\x88]\xc04\xb9V\x8b\xc8\x0cA@')
137947544_695258H$4740418E,137947544,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1386149142, 34.1016448497]}",bytearray(b'\x01\x01\x00\x00\x00\x85\xce\x16\x11\xdf\x88]\xc0Y\xa2\xcc\xb2\x02\rA@')
5054767:B5054767-1,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1342934553, 34.0973157764]}",bytearray(b'\x01\x01\x00\x00\x00$\xa5\x93C\x98\x88]\xc0\xed\x82\xe6\xd7t\x0cA@')
55318653_1349619E:1349619E,55318653,TERMINAL,"{'type': 'Point', 'coordinates': [-118.144811954, 34.0982621954]}",bytearray(b'\x01\x01\x00\x00\x00\xfe\x9f[\x99D\x89]\xc0\x8c\xd6\t\xdb\x93\x0cA@')
293588A6B4BAEE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.1444467993, 34.1012712138]}",bytearray(b'\x01\x01\x00\x00\x00X\xc0\xc9\x9d>\x89]\xc0\x0b\xa6\x83t\xf6\x0cA@')
1387682E:42981732,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1287313401, 34.0987212871]}","bytearray(b'\x01\x01\x00\x00\x00\xc9\xec_""=\x88]\xc0\xbb\xc1-\xe6\xa2\x0cA@')"
54028483_CAB_583249E:583249E,54028483,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1472724652, 34.1001612702]}",bytearray(b'\x01\x01\x00\x00\x00\xa9h}\xe9l\x89]\xc0\xdb\xea\xa1\x15\xd2\x0cA@')
CAB_1430548E:1430548E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1272702086, 34.1006864148]}",bytearray(b'\x01\x01\x00\x00\x00K\xec\xf11%\x88]\xc0\xd7[\xddJ\xe3\x0cA@')
54028442_406057E:54028440,54028442,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1472702366, 34.1007870071]}",bytearray(b'\x01\x01\x00\x00\x00\xc1w$\xe0l\x89]\xc0\x99\xad\xb1\x96\xe6\x0cA@')
695329H:51229756,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1386117689, 34.1028804138]}",bytearray(b'\x01\x01\x00\x00\x00\n\x91\xe5\x03\xdf\x88]\xc0\xc1Uv/+\rA@')
CAB_1662215E:1662215E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1451483134, 34.1021783492]}",bytearray(b'\x01\x01\x00\x00\x00\xd8\xc7&\x1cJ\x89]\xc0.\x16\x1e.\x14\rA@')
43021052_ND166167736$ND43021052,43021052,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1281071305, 34.0998770041]}",bytearray(b'\x01\x01\x00\x00\x00q\xf8?\xe82\x88]\xc0\xb1\x1d\t\xc5\xc8\x0cA@')
42981492_1430544E$ND43020751,42981492,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1271547604, 34.1003392157]}",bytearray(b'\x01\x01\x00\x00\x00\xb8\\\xb8M#\x88]\xc0\t\xf8X\xea\xd7\x0cA@')
174139648_174139644$174139668,174139648,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1305377436, 34.1006019862]}",bytearray(b'\x01\x01\x00\x00\x00\xf6\xe9\xfa\xbaZ\x88]\xc0!R\xa0\x86\xe0\x0cA@')
43019196_5054763:BS0867-T,43019196,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1339220193, 34.0978691535]}",bytearray(b'\x01\x01\x00\x00\x00\xe6F\xa9-\x92\x88]\xc0\xec\xc8\xf6\xf9\x86\x0cA@')
CAB_4535697E:4535697E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1317063656, 34.0990884395]}",bytearray(b'\x01\x01\x00\x00\x00T;\x89\xe0m\x88]\xc07\x88\x13\xee\xae\x0cA@')
CAB_5475866:P5475866,-999999,UG_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1414721144, 34.0981218415]}","bytearray(b'\x01\x01\x00\x00\x007)\x0e\xe1\r\x89]\xc0\x06""\xaaA\x8f\x0cA@')"
5002091:GS0609-4,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1354678844, 34.0984940304]}",bytearray(b'\x01\x01\x00\x00\x00\x01J}\x81\xab\x88]\xc0\xa9\xb5\xcfs\x9b\x0cA@')
1658474E:55295556,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1440500084, 34.0934977641], [-118.1440524674, 34.0933951137]]}","bytearray(b""\x01\x02\x00\x00\x00\x02\x00\x00\x00B\xc4\x86\x1d8\x89]\xc0\x81\x87\x17\xbc\xf7\x0bA@\x08\x19\xd7\'8\x89]\xc0Ny\xff^\xf4\x0bA@"")"
54028458_406057E$ND210943564,54028458,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1472702366, 34.1007870071]}",bytearray(b'\x01\x01\x00\x00\x00\xc1w$\xe0l\x89]\xc0\x99\xad\xb1\x96\xe6\x0cA@')
508577H:243721853,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1385786703, 34.1013513309], [-118.1384549924, 34.1013617498]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00&7\x12y\xde\x88]\xc0\x90\xcf\x95\x14\xf9\x0cA@\xdc\x14Tr\xdc\x88]\xc0i:\xfck\xf9\x0cA@')
CAB_4761140E:4761140E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.146100288, 34.1011075271]}",bytearray(b'\x01\x01\x00\x00\x00[\xb9\x05\xb5Y\x89]\xc0\x10#i\x17\xf1\x0cA@')
1430541E:BF22789,-999999,BRANCH_LINE_FUSE,"{'type': 'Point', 'coordinates': [-118.1282721432, 34.1001201149]}",bytearray(b'\x01\x01\x00\x00\x00\t\x02]\x9c5\x88]\xc0i\x95e\xbc\xd0\x0cA@')
55295751_5003324:GS0626-1,55295751,TERMINAL,"{'type': 'Point', 'coordinates': [-118.140426332, 34.0987523058]}",bytearray(b'\x01\x01\x00\x00\x00\xfc\xdb\xb9\xbe\xfc\x88]\xc0e\xe8a\xea\xa3\x0cA@')
CAB_1605138E:1605138E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1313925327, 34.0986201956]}",bytearray(b'\x01\x01\x00\x00\x00\xa6\xb89\xbch\x88]\xc0\xdfi)\x96\x9f\x0cA@')
42998401_GS0610-2$P5405832-A,42998401,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1342175105, 34.0992064159]}",bytearray(b'\x01\x01\x00\x00\x00y\x89\n\x05\x97\x88]\xc0\x04\xec\xbb\xcb\xb2\x0cA@')
5002114:GS0638-2,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1448336364, 34.0927683905]}",bytearray(b'\x01\x01\x00\x00\x00\xb8\xecL\xf4D\x89]\xc0h\xa6\xa9\xd5\xdf\x0bA@')
1541350E:1541350EOT,-999999,DISTRIBUTION_TAP,"{'type': 'Point', 'coordinates': [-118.1447314597, 34.0943649096]}",bytearray(b'\x01\x01\x00\x00\x00I\x87\xbdGC\x89]\xc0\x9eO<&\x14\x0cA@')
5054763:BS0867-R,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1340479384, 34.0977692142]}",bytearray(b'\x01\x01\x00\x00\x00\x8d\xe1\xcd=\x94\x88]\xc0\xb6\xc5\x9c\xb3\x83\x0cA@')
51229917_774653H$9783718E,51229917,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374901411, 34.1022531539]}",bytearray(b'\x01\x01\x00\x00\x00\x01\xe3r\xa3\xcc\x88]\xc0\xe9\xf4\x9f\xa1\x16\rA@')
51229774_CAB_695329H:695329H,51229774,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1386117687, 34.1028804141]}",bytearray(b'\x01\x01\x00\x00\x00\x10Z\xe5\x03\xdf\x88]\xc0\xae\xfav/+\rA@')
55295743_5003324:GS0626-2,55295743,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1403434699, 34.0987510077]}",bytearray(b'\x01\x01\x00\x00\x00_[-c\xfb\x88]\xc0`B~\xdf\xa3\x0cA@')
87091007_4535697E$1605138E,87091007,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1317063655, 34.0990884395]}",bytearray(b'\x01\x01\x00\x00\x00\xd7\x1f\x89\xe0m\x88]\xc07\x88\x13\xee\xae\x0cA@')
