CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
CAB_4535081E:4535081E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1422231725, 34.0934737394]}",bytearray(b'\x01\x01\x00\x00\x00\xbc\xa78/\x1a\x89]\xc0\x00\xe1\x8e\xf2\xf6\x0bA@')
1387682E$1430538E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1287288609, 34.0988239368], [-118.1290901315, 34.0993905748]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00z\xe7\xf9\x17=\x88]\xc0\x1aODC\xa6\x0cA@\xd9AA\x03C\x88]\xc0\xf8%\x92\xd4\xb8\x0cA@')
42981706s_293588A56D23EE34E0637F61810A7CE3,42981706s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1290926103, 34.099287925]}",bytearray(b'\x01\x01\x00\x00\x004\xd9\xa6\rC\x88]\xc0\xa0a{w\xb5\x0cA@')
293588A56D1FEE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.1278400396, 34.0993976698]}",bytearray(b'\x01\x01\x00\x00\x00\xe3L\xfd\x87.\x88]\xc0x\x8b\x16\x10\xb9\x0cA@')
55295743_GS0626-2$ND246248050,55295743,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1403434699, 34.0987510077]}",bytearray(b'\x01\x01\x00\x00\x00_[-c\xfb\x88]\xc0`B~\xdf\xa3\x0cA@')
42981501_1430548E:42981499,42981501,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1272702086, 34.1006864149]}",bytearray(b'\x01\x01\x00\x00\x00K\xec\xf11%\x88]\xc0\xd0\x92\xddJ\xe3\x0cA@')
43019728_1430546E$1279511E,43019728,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1266301629, 34.0997707857]}",bytearray(b'\x01\x01\x00\x00\x00\xee\x15f\xb5\x1a\x88]\xc0\xc0\xd6\x02J\xc5\x0cA@')
ST. CHARLES$MARGUERITA_RCS0693-2$RCS0693-2,-999999,TIE_CABLE,"{'type': 'Point', 'coordinates': [-118.1448578473, 34.0919904261]}",bytearray(b'\x01\x01\x00\x00\x00=.\xd9YE\x89]\xc0\x82\xd2\x9fW\xc6\x0bA@')
55295723_55295749$55295741,55295723,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1404231888, 34.0988891747]}",bytearray(b'\x01\x01\x00\x00\x00\xbf\xdf\x8a\xb1\xfc\x88]\xc0\xe9\xa1\x85f\xa8\x0cA@')
55295741$55295757,-999999,UG_BUS,"{'type': 'LineString', 'coordinates': [[-118.1403403269, 34.0988878767], [-118.1402574646, 34.0988865786]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x1c\x96\xfeU\xfb\x88]\xc0\xdd2\xa2[\xa8\x0cA@\x85\xdeq\xfa\xf9\x88]\xc0\xd8\x8c\xbeP\xa8\x0cA@')
5054764:P5054764-T,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1345215802, 34.0977271692], [-118.1345236933, 34.0977829772]]}","bytearray(b""\x01\x02\x00\x00\x00\x02\x00\x00\x00-\xe4f\x00\x9c\x88]\xc0\x84\xd2\xe9R\x82\x0cA@\xae\xd0C\t\x9c\x88]\xc0\xfa\x96\x10\'\x84\x0cA@"")"
CAB_1431255E:1431255E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1283253569, 34.1001984929]}",bytearray(b'\x01\x01\x00\x00\x00\x84\xc8\x8e{6\x88]\xc0\x97\x0e\xe1M\xd3\x0cA@')
51229946_774653H$9783718E,51229946,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1375097063, 34.1029350231]}","bytearray(b'\x01\x01\x00\x00\x00:\xdc\x82\xf5\xcc\x88]\xc0\xec\xe9\x8e\xf9,\rA@')"
5002091:GS0609-2,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1356336051, 34.0984967505], [-118.1356658689, 34.0986134469]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00(\x89\x928\xae\x88]\xc0s\x14\xa1\x8a\x9b\x0cA@\xf9\x86\xe5\xbf\xae\x88]\xc0\xd0\xb0\x8c]\x9f\x0cA@')
165329090_ST. CHARLES$ASTEROID_RCS9711-3$RCS9711-3,165329090,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1462544915, 34.105216312]}",bytearray(b'\x01\x01\x00\x00\x00\xaex\xcc;\\\x89]\xc0\xdb\x85e\xbaw\rA@')
51229929_293588A65176EE34E0637F61810A7CE3,51229929,TERMINAL,"{'type': 'Point', 'coordinates': [-118.137512174, 34.1028323734]}",bytearray(b'\x01\x01\x00\x00\x00p\x88\xdc\xff\xcc\x88]\xc0\x8d\\x\x9c)\rA@')
CAB_4740418E:4740418E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1386162565, 34.1020757459]}","bytearray(b'\x01\x01\x00\x00\x00""\x17\xb8\x16\xdf\x88]\xc0{-k\xd1\x10\rA@')"
54028433_CAB_4159855E:4159855E,54028433,TERMINAL,"{'type': 'Point', 'coordinates': [-118.146186117, 34.099988973]}",bytearray(b'\x01\x01\x00\x00\x00;\xe9\x03\x1d[\x89]\xc0q\x7fLp\xcc\x0cA@')
5003324:GS0626-4,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1401777459, 34.0987484115], [-118.1401746023, 34.0988852804]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x1f\x91\x14\xac\xf8\x88]\xc0T\xf6\xb6\xc9\xa3\x0cA@\xee&\xe5\x9e\xf8\x88]\xc0\xd8\xaf\xdaE\xa8\x0cA@')
1662210E$ND58679746,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1462961152, 34.1038932313], [-118.1462689155, 34.1039082795]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x007\x94a\xea\\\x89]\xc0\xc9Z\x97_L\rA@\x9c\x1fLx\\\x89]\xc09\x1e\xd3\xddL\rA@')
42981764_4513975E:42981761,42981764,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1285273023, 34.0984279305]}",bytearray(b'\x01\x01\x00\x00\x00b\x01\x94\xca9\x88]\xc0WASI\x99\x0cA@')
ND58679354$1327372E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1449913213, 34.101396475], [-118.1444443409, 34.1013738635]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xfd\xcb\xad\x89G\x89]\xc0\x00\x07H\x8f\xfa\x0cA@\x7f\x10z\x93>\x89]\xc0j3\x9a\xd1\xf9\x0cA@')
5405832:P5405832-A,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1344455832, 34.0984717739], [-118.1343645298, 34.0984738671]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xe2\xbb\xa5\xc1\x9a\x88]\xc0d=\x1c\xb9\x9a\x0cA@\xf0N\xafm\x99\x88]\xc0BZ\xab\xca\x9a\x0cA@')
174738664_GS0627-3$174738696,174738664,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1320483263, 34.099847205]}",bytearray(b'\x01\x01\x00\x00\x00\xcd\xbc\xd2zs\x88]\xc08\t\x10\xcb\xc7\x0cA@')
210332399_293588B4B32FEE34E0637F61810A7CE3,210332399,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1345215802, 34.0977271693]}",bytearray(b'\x01\x01\x00\x00\x00-\xe4f\x00\x9c\x88]\xc0~\t\xeaR\x82\x0cA@')
42998394_5003568:GS0610-4,42998394,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1341527334, 34.0993924739]}",bytearray(b'\x01\x01\x00\x00\x00\xcf\xa7X\xf5\x95\x88]\xc0<o\x80\xe4\xb8\x0cA@')
51244658_CAB_695331H:695331H,51244658,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1386145859, 34.1032839159]}",bytearray(b'\x01\x01\x00\x00\x00\x1aL\xb6\x0f\xdf\x88]\xc0%\x7fHh8\rA@')
CAB_9783718E:9783718E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1375097066, 34.1029350228]}","bytearray(b'\x01\x01\x00\x00\x00\xb1.\x83\xf5\xcc\x88]\xc0\xfeD\x8e\xf9,\rA@')"
ST. CHARLES$MARGUERITA_RCS0693-6$RCS0693-6,-999999,TIE_CABLE,"{'type': 'Point', 'coordinates': [-118.1445246182, 34.0919893638]}",bytearray(b'\x01\x01\x00\x00\x00\xb2(/\xe4?\x89]\xc0\xe9\x8c\xb6N\xc6\x0bA@')
51229783_508628H:51229781,51229783,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374967552, 34.0995123189]}",bytearray(b'\x01\x01\x00\x00\x00\xf8\xb80\xbf\xcc\x88]\xc0\xc0\x9c\xd5\xd1\xbc\x0cA@')
55295584_5003349:GS0625-2,55295584,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1418455721, 34.0985907648]}",bytearray(b'\x01\x01\x00\x00\x00\x1fPs\xff\x13\x89]\xc0w@G\x9f\x9e\x0cA@')
58606811_1662215E:58606809,58606811,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1451483134, 34.1021783492]}",bytearray(b'\x01\x01\x00\x00\x00\xd8\xc7&\x1cJ\x89]\xc0.\x16\x1e.\x14\rA@')
5405832:P5405832-T,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1343624168, 34.0984180591]}",bytearray(b'\x01\x01\x00\x00\x00\xec}\xd2d\x99\x88]\xc0\xcc\x95\x84\xf6\x98\x0cA@')
293588A419B7EE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.1461885732, 34.099886323]}","bytearray(b""\x01\x01\x00\x00\x00Y<Q\'[\x89]\xc0%M5\x13\xc9\x0cA@"")"
87091007_BF22787$4535697E,87091007,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1317063655, 34.0990884395]}",bytearray(b'\x01\x01\x00\x00\x00\xd7\x1f\x89\xe0m\x88]\xc07\x88\x13\xee\xae\x0cA@')
54029924_293588A41C6FEE34E0637F61810A7CE3,54029924,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1461184316, 34.1018414139]}",bytearray(b'\x01\x01\x00\x00\x00&D\x1f\x01Z\x89]\xc0\x19\n\xb3#\t\rA@')
174139543$GS0628-4,-999999,UG_BUS,"{'type': 'LineString', 'coordinates': [[-118.1298845677, 34.1008919799], [-118.1298122588, 34.1009254285]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xb4\xa1\\\x07P\x88]\xc0\xb2\x0cE\x07\xea\x0cA@\x9e\x8a\x13\xd8N\x88]\xc0\x03_\xdb\x1f\xeb\x0cA@')
51229917_774653H$9783718E,51229917,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374901411, 34.1022531539]}",bytearray(b'\x01\x01\x00\x00\x00\x01\xe3r\xa3\xcc\x88]\xc0\xe9\xf4\x9f\xa1\x16\rA@')
ND55347359$1658475E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1447280736, 34.0942665993], [-118.1447423052, 34.0935126385], [-118.1444475411, 34.0935083325]]}",bytearray(b'\x01\x02\x00\x00\x00\x03\x00\x00\x005\xbb\x899C\x89]\xc0\xa0\x8c\x8c\xed\x10\x0cA@\xa0\xcb:uC\x89]\xc0b\x0f\xde8\xf8\x0bA@\xc7@\xe6\xa0>\x89]\xc0\xd9\xfe\xbe\x14\xf8\x0bA@')
206573356_4159855E$4462456E,206573356,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1461873268, 34.0996099358]}","bytearray(b'\x01\x01\x00\x00\x00\x86\xec\x16""[\x89]\xc0\x0fO\xb4\x04\xc0\x0cA@')"
CAB_5640680:GS1792,-999999,UG_SWITCH_LOCATION,"{'type': 'Point', 'coordinates': [-118.119958285, 34.1028692065]}",bytearray(b'\x01\x01\x00\x00\x00d\xbd\x83e\xad\x87]\xc0l\xd7r\xd1*\rA@')
43019188_5054763:BS0867-R,43019188,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1340479382, 34.0977692145]}",bytearray(b'\x01\x01\x00\x00\x00\x93\xaa\xcd=\x94\x88]\xc0\xa3j\x9d\xb3\x83\x0cA@')
177282950$GS1793-2,-999999,UG_BUS,"{'type': 'LineString', 'coordinates': [[-118.1214893091, 34.1049992045], [-118.1214191046, 34.1050355869]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00{Y\x18{\xc6\x87]\xc0}\xb7*\x9dp\rA@v\xd7\xa2T\xc5\x87]\xc0jS]\xceq\rA@')
CAB_1279511E:1279511E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.126349856, 34.0993695439]}",bytearray(b'\x01\x01\x00\x00\x00\xf5\xd7\xb4\x1d\x16\x88]\xc0m\xa2&$\xb8\x0cA@')
CAB_1387680E:1387680E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1294271025, 34.0998701261]}",bytearray(b'\x01\x01\x00\x00\x00\x07\x1d\x9d\x88H\x88]\xc04\xb9V\x8b\xc8\x0cA@')
207913899_BF02585$4668431E,207913899,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1472816892, 34.1014013624]}",bytearray(b'\x01\x01\x00\x00\x00y\x9a-\x10m\x89]\xc0\x90\xa3G\xb8\xfa\x0cA@')
58606829_ND58679354$1662215E,58606829,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1451483134, 34.1021783492]}",bytearray(b'\x01\x01\x00\x00\x00\xd8\xc7&\x1cJ\x89]\xc0.\x16\x1e.\x14\rA@')
210332484,-999999,ELBOW,"{'type': 'Point', 'coordinates': [-118.1344233131, 34.0977778319]}",bytearray(b'\x01\x01\x00\x00\x00he=d\x9a\x88]\xc0c$\xe7\xfb\x83\x0cA@')
42981627_1430547E:42981624,42981627,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1268053554, 34.0999152385]}",bytearray(b'\x01\x01\x00\x00\x00\xa4\x995\x94\x1d\x88]\xc0b\xdd\xc4\x05\xca\x0cA@')
51229888_CAB_508348H:508348H,51229888,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374904341, 34.1016033935]}",bytearray(b'\x01\x01\x00\x00\x00;~\xad\xa4\xcc\x88]\xc0`\x1f\nW\x01\rA@')
54028342_CAB_917396E:917396E,54028342,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1473681989, 34.1021494734]}",bytearray(b'\x01\x01\x00\x00\x00\xbd\xaf\x06{n\x89]\xc0?\xc7\xe3;\x13\rA@')
1327583E:54028365,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1472729315, 34.0995046367]}",bytearray(b'\x01\x01\x00\x00\x00:\x18r\xebl\x89]\xc0\xa36d\x91\xbc\x0cA@')
1579864E:1579864E,-999999,POTHEAD,"{'type': 'LineString', 'coordinates': [[-118.1338944826, 34.0981600323], [-118.1338172817, 34.0980370898]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00p\xf8)\xba\x91\x88]\xc0\\@\x08\x82\x90\x0cA@\xa2""\\v\x90\x88]\xc06>\xb7z\x8c\x0cA@')"
51244658_695331H:51244656,51244658,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1386145859, 34.1032839159]}",bytearray(b'\x01\x01\x00\x00\x00\x1aL\xb6\x0f\xdf\x88]\xc0%\x7fHh8\rA@')
206573360_BF02586$ND54030983,206573360,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1461045385, 34.1014203777]}",bytearray(b'\x01\x01\x00\x00\x00\xe6\xa9\xd9\xc6Y\x89]\xc0K\xaf\xcaW\xfb\x0cA@')
42997338_1579866E:42997336,42997338,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1339394393, 34.0982285828]}",bytearray(b'\x01\x01\x00\x00\x00\t\xdc\xb9v\x92\x88]\xc0GT\x13\xc1\x92\x0cA@')
406057E:54028440,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1472726913, 34.1006843572]}",bytearray(b'\x01\x01\x00\x00\x00\x8e.p\xeal\x89]\xc0G\xb2\x9a9\xe3\x0cA@')
42998382_5003568:GS0610-2,42998382,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1342977646, 34.0993261938]}",bytearray(b'\x01\x01\x00\x00\x00\x82\xb8\xa6U\x98\x88]\xc0\xeb\x00\x81\xb8\xb6\x0cA@')
CAB_4534422E:4534422E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.129592679, 34.1001208508]}",bytearray(b'\x01\x01\x00\x00\x00\xc9\x86\x17?K\x88]\xc0\xb7\xea\x91\xc2\xd0\x0cA@')
ND246248050$508347H,-999999,UG_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1387520309, 34.0987830082], [-118.1377145313, 34.0987911691], [-118.1377136349, 34.0989208284], [-118.1374921765, 34.0989197774], [-118.1374928706, 34.0990118753]]}",bytearray(b'\x01\x02\x00\x00\x00\x05\x00\x00\x00\x05\xbe2P\xe1\x88]\xc0L\xcf\xee\xeb\xa4\x0cA@\x85\x07\x9cP\xd0\x88]\xc0\x845d0\xa5\x0cA@\xf6\x86\xd9L\xd0\x88]\xc0\x84o\rp\xa9\x0cA@\x7fa\xfc\xab\xcc\x88]\xc0(n<g\xa9\x0cA@@\xaa\xe5\xae\xcc\x88]\xc0!*\xcfk\xac\x0cA@')
5054766:B5054766-1,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1341728006, 34.0980189091], [-118.1342078626, 34.098100502]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xbe\xa5\x83I\x96\x88]\xc0\xaf|4\xe2\x8b\x0cA@\xea.\x93\xdc\x96\x88]\xc0\xd5\xe7\xa7\x8e\x8e\x0cA@')
54028458_406057E$ND210943564,54028458,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1472702366, 34.1007870071]}",bytearray(b'\x01\x01\x00\x00\x00\xc1w$\xe0l\x89]\xc0\x99\xad\xb1\x96\xe6\x0cA@')
42981617_1431256E$1431257E,42981617,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1278375592, 34.0995003194]}","bytearray(b'\x01\x01\x00\x00\x00\xba\xfd\x95}.\x88]\xc0\xdd\xe1,m\xbc\x0cA@')"
508576H:508576H,-999999,POTHEAD,"{'type': 'LineString', 'coordinates': [[-118.1385251465, 34.0992036844], [-118.1385227282, 34.0990649892]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x08y\x93\x98\xdd\x88]\xc0\x03\x12\xd2\xb4\xb2\x0cA@\xca\xd7n\x8e\xdd\x88]\xc0te\\)\xae\x0cA@')
42981442_1430548E$1430550E,42981442,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1277071242, 34.1013114181]}","bytearray(b'\x01\x01\x00\x00\x00\xefy\x80Z,\x88]\xc0\xb7\xb9\xc5\xc5\xf7\x0cA@')"
293588A6B4B8EE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.1457660769, 34.1031404573]}",bytearray(b'\x01\x01\x00\x00\x00\xb6I=;T\x89]\xc0\xbe\x7f\xdd\xb43\rA@')
51230464_508347H:508347H,51230464,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374928703, 34.0990118756]}",bytearray(b'\x01\x01\x00\x00\x00\xc9W\xe5\xae\xcc\x88]\xc0\x0e\xcf\xcfk\xac\x0cA@')
55345880$P5475866,-999999,UG_BUS,"{'type': 'LineString', 'coordinates': [[-118.1414721144, 34.0981218415], [-118.1413726823, 34.0981202146]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x007)\x0e\xe1\r\x89]\xc0\x06""\xaaA\x8f\x0cA@\xaf\xc1\x01@\x0c\x89]\xc0Jd\x044\x8f\x0cA@')"
508578H:51229706,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1385417714, 34.1010525898], [-118.1385442376, 34.10094994]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xbfRN\xde\xdd\x88]\xc0\xfd.\x90J\xef\x0cA@\xa4b\xa6\xe8\xdd\x88]\xc0\xa5jy\xed\xeb\x0cA@')
1387680E$4534422E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1294271025, 34.0998701263], [-118.129592679, 34.1001208508]]}","bytearray(b""\x01\x02\x00\x00\x00\x02\x00\x00\x00\x07\x1d\x9d\x88H\x88]\xc0\'\'W\x8b\xc8\x0cA@\xc9\x86\x17?K\x88]\xc0\xb7\xea\x91\xc2\xd0\x0cA@"")"
CAB_4535697E:4535697E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1317063656, 34.0990884395]}",bytearray(b'\x01\x01\x00\x00\x00T;\x89\xe0m\x88]\xc07\x88\x13\xee\xae\x0cA@')
42981626_CAB_1430547E:1430547E,42981626,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1268028736, 34.1000178881]}",bytearray(b'\x01\x01\x00\x00\x00\xa7\xc9\xcc\x89\x1d\x88]\xc0\xc63\xdbb\xcd\x0cA@')
42981781_CAB_4513975E:4513975E,42981781,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1285248228, 34.0985305801]}",bytearray(b'\x01\x01\x00\x00\x00\x9d\xa9-\xc09\x88]\xc0\xbb\x97i\xa6\x9c\x0cA@')
CAB_1387682E:1387682E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1287288609, 34.0988239368]}",bytearray(b'\x01\x01\x00\x00\x00z\xe7\xf9\x17=\x88]\xc0\x1aODC\xa6\x0cA@')
42998381_5003568:GS0610-1,42998381,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1343702802, 34.0992930537]}",bytearray(b'\x01\x01\x00\x00\x00\xdb\xc0\xcd\x85\x99\x88]\xc0E.\x81\xa2\xb5\x0cA@')
CAB_4535081E:4535081E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1422231725, 34.0934737394]}",bytearray(b'\x01\x01\x00\x00\x00\xbc\xa78/\x1a\x89]\xc0\x00\xe1\x8e\xf2\xf6\x0bA@')
42981642_ND43020751$1430547E,42981642,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1268028736, 34.1000178881]}",bytearray(b'\x01\x01\x00\x00\x00\xa7\xc9\xcc\x89\x1d\x88]\xc0\xc63\xdbb\xcd\x0cA@')
58606829_1662212E$1662215E,58606829,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1451483134, 34.1021783492]}",bytearray(b'\x01\x01\x00\x00\x00\xd8\xc7&\x1cJ\x89]\xc0.\x16\x1e.\x14\rA@')
42999708s_293588B2164BEE34E0637F61810A7CE3,42999708s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1334938608, 34.0976893549]}",bytearray(b'\x01\x01\x00\x00\x00\x94\x96\xd5)\x8b\x88]\xc0>;\xb4\x15\x81\x0cA@')
5054767:B5054767-2,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.1342934325, 34.097261019], [-118.1343928945, 34.0972883695]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xed){C\x98\x88]\xc0\xec\xe3\x8f\x0cs\x0cA@N\xac\xa7\xe4\x99\x88]\xc0O\xa4\xfe\xf1s\x0cA@')
1387682E:42981732,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1287313401, 34.0987212871]}","bytearray(b'\x01\x01\x00\x00\x00\xc9\xec_""=\x88]\xc0\xbb\xc1-\xe6\xa2\x0cA@')"
174738690_5003311:GS0627-3,174738690,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1320565969, 34.0997240002]}",bytearray(b'\x01\x01\x00\x00\x00\x05:\x83\x9ds\x88]\xc0\x1e\xbe\x8b\xc1\xc3\x0cA@')
58629543_ND163631475$1662212E,58629543,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1457636201, 34.1032431072]}",bytearray(b'\x01\x01\x00\x00\x00\xabQ\xef0T\x89]\xc0\x10{\xf4\x117\rA@')
55295926_5002091:GS0609-2,55295926,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1356336051, 34.0984967504]}",bytearray(b'\x01\x01\x00\x00\x00(\x89\x928\xae\x88]\xc0z\xdd\xa0\x8a\x9b\x0cA@')
1658475E:55319598,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1444499993, 34.0934056822]}","bytearray(b""\x01\x01\x00\x00\x00\xa5\xb95\xab>\x89]\xc0\xa0\'\xa7\xb7\xf4\x0bA@"")"
CAB_1279511E:1279511E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.126349856, 34.0993695439]}",bytearray(b'\x01\x01\x00\x00\x00\xf5\xd7\xb4\x1d\x16\x88]\xc0m\xa2&$\xb8\x0cA@')
CAB_589031E:589031E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1461042393, 34.1026895185]}",bytearray(b'\x01\x01\x00\x00\x00nf\x98\xc5Y\x89]\xc0\xbc\xcc\x1d\xee$\rA@')
1662221E:58629602,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1448479137, 34.0995485069]}",bytearray(b'\x01\x01\x00\x00\x00\x10\x0f/0E\x89]\xc0%\xc0f\x01\xbe\x0cA@')
1387682E:42981732,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1287288609, 34.0988239368], [-118.1287313401, 34.0987212871]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00z\xe7\xf9\x17=\x88]\xc0\x1aODC\xa6\x0cA@\xc9\xec_""=\x88]\xc0\xbb\xc1-\xe6\xa2\x0cA@')"
43019713_1430546E:43019710,43019713,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1266326449, 34.0996681362]}",bytearray(b'\x01\x01\x00\x00\x00\xe5\x1c\xcf\xbf\x1a\x88]\xc0U\xb7\xec\xec\xc1\x0cA@')
CAB_508628H:508628H,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1374967555, 34.0995123187]}",bytearray(b'\x01\x01\x00\x00\x00n\x0b1\xbf\xcc\x88]\xc0\xcd.\xd5\xd1\xbc\x0cA@')
51244659s_293588A9368BEE34E0637F61810A7CE3,51244659s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1386170522, 34.1031812662]}",bytearray(b'\x01\x01\x00\x00\x00|w\x0e\x1a\xdf\x88]\xc0\xc6\xf11\x0b5\rA@')
1279511E:42981649,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1263523384, 34.0992668943]}",bytearray(b'\x01\x01\x00\x00\x00\xdfL\x1e(\x16\x88]\xc0\x08L\x10\xc7\xb4\x0cA@')
CAB_1685191E:1685191E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1287885996, 34.1008813277]}",bytearray(b'\x01\x01\x00\x00\x00L\xd8\x89\x12>\x88]\xc0\xd1\x9f\xe9\xad\xe9\x0cA@')
