CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
915050E:32588511,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.466250917, 34.0123105756]}",bytearray(b'\x01\x01\x00\x00\x00\xae\x0f\x16\x0e\xd7\x9d]\xc0h\xcc\x97d\x93\x01A@')
206837089_293588A3FE9EEE34E0637F61810A7CE3,206837089,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4588302662, 34.0164973547]}",bytearray(b'\x01\x01\x00\x00\x00\x9d\xef\x9ey]\x9d]\xc0\x19t\xd7\x95\x1c\x02A@')
CAB_5440725:P5440725,-999999,UG_TRANSFORMER_LOCATION,"{'type': 'Polygon', 'coordinates': [[[-118.4669839842, 34.0124869485], [-118.467130781, 34.0126422975], [-118.4672585227, 34.0125597851], [-118.4671117258, 34.0124044362], [-118.4669839842, 34.0124869485]]]}","bytearray(b""\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00D\xf9\xca\x10\xe3\x9d]\xc0\x98\xb7\x1d,\x99\x01A@e\xd6\x80x\xe5\x9d]\xc0\x87\'GC\x9e\x01A@\x86qJ\x90\xe7\x9d]\xc0\xe9\x1f\x1d\x8f\x9b\x01A@\xe7x\x94(\xe5\x9d]\xc0\xf4\xe6\xf3w\x96\x01A@D\xf9\xca\x10\xe3\x9d]\xc0\x98\xb7\x1d,\x99\x01A@"")"
32588755_2255298E:PS0294,32588755,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4584280086, 34.0180004242]}",bytearray(b'\x01\x01\x00\x00\x00y n\xe2V\x9d]\xc0f\xa0\x80\xd6M\x02A@')
56208180_COURTLAND$WALGROVE_RCS1127-2$RCS1127-2,56208180,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4585434687, 34.0174952154]}",bytearray(b'\x01\x01\x00\x00\x00\x19w\xb4\xc6X\x9d]\xc0_\xfd\x80H=\x02A@')
32588907,-999999,ELBOW,"{'type': 'Point', 'coordinates': [-118.4704804286, 34.0152491124]}",bytearray(b'\x01\x01\x00\x00\x00\xaf\x8f\xf1Y\x1c\x9e]\xc0\x88\x86\xd3\xae\xf3\x01A@')
32587632_293588B185E2EE34E0637F61810A7CE3,32587632,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4691416872, 34.0126329559]}",bytearray(b'\x01\x01\x00\x00\x00\xb6\xed\xdaj\x06\x9e]\xc0\x9e8\xea\xf4\x9d\x01A@')
153098401_CAB_788530E:788530E,153098401,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4644631199, 34.013341715]}",bytearray(b'\x01\x01\x00\x00\x00\xcb\x8a\x85\xc3\xb9\x9d]\xc0}\xccj.\xb5\x01A@')
293588A8BA4AEE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.4592528128, 34.0197237682]}",bytearray(b'\x01\x01\x00\x00\x00\x9c\xe4\xe8ed\x9d]\xc0\xbb\xaf\xf5N\x86\x02A@')
32587867_2032830E$2033144E,32587867,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4592507732, 34.0198264285]}",bytearray(b'\x01\x01\x00\x00\x00\xa1\xe3Z]d\x9d]\xc0\x82\x00#\xac\x89\x02A@')
32588125_900071E$ND32589086,32588125,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4583757128, 34.0209627301]}",bytearray(b'\x01\x01\x00\x00\x00n\xf0\x15\x07V\x9d]\xc0q\x1b \xe8\xae\x02A@')
32587876_CAB_2033145E:2033145E,32587876,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4584627621, 34.0189409299]}",bytearray(b'\x01\x01\x00\x00\x00\xd0i2tW\x9d]\xc0\xf8<\t\xa8l\x02A@')
1664046E:32587737,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.4677097415, 34.0113666019]}",bytearray(b'\x01\x01\x00\x00\x00\xd7\xf0\xd6\xf4\xee\x9d]\xc0\xad\xb6\xf7ut\x01A@')
32587631_4403035E$P5400040-1,32587631,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4691910469, 34.0126006822]}",bytearray(b'\x01\x01\x00\x00\x00\xbc\x80\xe29\x07\x9e]\xc0h\xfa.\xe6\x9c\x01A@')
CAB_5304043:GS4483,-999999,UG_SWITCH_LOCATION,"{'type': 'Polygon', 'coordinates': [[[-118.4646400337, 34.0073906403], [-118.4644892209, 34.0080376484], [-118.4649325203, 34.0081082883], [-118.4650833297, 34.0074612798], [-118.4646400337, 34.0073906403]]]}",bytearray(b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\xd8I\x8d\xa9\xbc\x9d]\xc0H1/-\xf2\x00A@\x0bG\xff0\xba\x9d]\xc0\xe3\x81\xae`\x07\x01A@CbTt\xc1\x9d]\xc0\x9b\x89@\xb1\t\x01A@{\xbe\xde\xec\xc3\x9d]\xc0\x18]\xc0}\xf4\x00A@\xd8I\x8d\xa9\xbc\x9d]\xc0H1/-\xf2\x00A@')
32588962_ND32588962$PME0937-1,32588962,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4698219481, 34.0153813297]}",bytearray(b'\x01\x01\x00\x00\x00\x15\x82\x13\x90\x11\x9e]\xc0\xe7\x03\xf2\x03\xf8\x01A@')
915043E:915043E,-999999,POTHEAD,"{'type': 'Point', 'coordinates': [-118.4645892655, 34.0103522638]}",bytearray(b'\x01\x01\x00\x00\x00JY\x9d\xd4\xbb\x9d]\xc0\xf4:\x159S\x01A@')
293588A8BB26EE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.4605971041, 34.0154911682]}",bytearray(b'\x01\x01\x00\x00\x00z\xafFlz\x9d]\xc0\xdeeV\x9d\xfb\x01A@')
187932854_CAB_900072E:900072E,187932854,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4578711914, 34.0203834588]}",bytearray(b'\x01\x01\x00\x00\x00\xfd5\xf8\xc2M\x9d]\xc0rv\xd8\xec\x9b\x02A@')
219148125_X16066E:X16066EPH,219148125,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4691454703, 34.0145331783]}","bytearray(b'\x01\x01\x00\x00\x00S\x00\xb9z\x06\x9e]\xc0\xb2\xc0""9\xdc\x01A@')"
ND32588933$PH691,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4687007669, 34.0116872657], [-118.4687588237, 34.011653076]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x85\\\x801\xff\x9d]\xc0\x07\xfb\xe3\xf7~\x01A@0`\x02%\x00\x9e]\xc0\xae(\x16\xd9}\x01A@')
32589086_ND32589086$4426777EPH1,32589086,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4588474085, 34.0215542968]}",bytearray(b'\x01\x01\x00\x00\x00)W\x85\xc1]\x9d]\xc0\x11\xec\x8bJ\xc2\x02A@')
243240186_ND243240186$PS4939,243240186,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4666164701, 34.0120988307]}",bytearray(b'\x01\x01\x00\x00\x00\xb0\xb6S\x0b\xdd\x9d]\xc0\x92\x16Yt\x8c\x01A@')
32588031s_293588B185E3EE34E0637F61810A7CE3,32588031s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4694762832, 34.0112079439]}",bytearray(b'\x01\x01\x00\x00\x00\xdd\xa5@\xe6\x0b\x9e]\xc0\xc1@\x0cCo\x01A@')
1826691E:FI42617,-999999,FAULT_INDICATOR,"{'type': 'LineString', 'coordinates': [[-118.4668198214, 34.0131468983], [-118.4668201102, 34.0125205161]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00g\x82>`\xe0\x9d]\xc0\x05\x1f-\xcc\xae\x01A@%\x9bta\xe0\x9d]\xc0\xda\x96\xb3E\x9a\x01A@')
32588926_ND32588926$2255566E,32588926,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4578688106, 34.0165841388]}",bytearray(b'\x01\x01\x00\x00\x00\xab\xd8\xfb\xb8M\x9d]\xc0\xa0\xe3\xd6m\x1f\x02A@')
187932909_2241301E:187932906,187932909,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4674167175, 34.0148339796]}","bytearray(b""\x01\x01\x00\x00\x00\t\xd1\xce\'\xea\x9d]\xc02\xa0p\x14\xe6\x01A@"")"
219526904_2255606E$920706E,219526904,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4610643757, 34.0153201411]}","bytearray(b""\x01\x01\x00\x00\x00\xdc\xbe\'\x14\x82\x9d]\xc0O\x7f\xa8\x02\xf6\x01A@"")"
32587989_293588A8BB25EE34E0637F61810A7CE3,32587989,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4576813577, 34.0200606668]}",bytearray(b'\x01\x01\x00\x00\x00\xdd\xd3\xbf\xa6J\x9d]\xc0\xc5\xeb\x11Y\x91\x02A@')
293588A8BB29EE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.4662529471, 34.0122079149]}",bytearray(b'\x01\x01\x00\x00\x00R\xdd\x99\x16\xd7\x9d]\xc0\xba\x9fi\x07\x90\x01A@')
219148085s_293588B4C1E0EE34E0637F61810A7CE3,219148085s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4695704125, 34.0142798779]}",bytearray(b'\x01\x01\x00\x00\x00\xd56\x0fq\r\x9e]\xc0#IL\xec\xd3\x01A@')
32588907,-999999,ELBOW,"{'type': 'LineString', 'coordinates': [[-118.4704804286, 34.0152491124], [-118.4705377321, 34.0153090326]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xaf\x8f\xf1Y\x1c\x9e]\xc0\x88\x86\xd3\xae\xf3\x01A@\xd3\xb9JJ\x1d\x9e]\xc0\xda,y\xa5\xf5\x01A@')"
32588070_920706E:32588068,32588070,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4605950665, 34.0155938286]}",bytearray(b'\x01\x01\x00\x00\x00A\xd4\xbacz\x9d]\xc0\x9f\xed\x83\xfa\xfe\x01A@')
185228047_5304043:GS4483-4EB,185228047,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4646883566, 34.0077431555]}",bytearray(b'\x01\x01\x00\x00\x00u\x9b;t\xbd\x9d]\xc0\xf7\xd1K\xba\xfd\x00A@')
32588567_PME0937-2$PME0937-1,32588567,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4704932604, 34.0157764392]}",bytearray(b'\x01\x01\x00\x00\x00\x03\x9a\xc3\x8f\x1c\x9e]\xc0\xa74]\xf6\x04\x02A@')
CAB_1196050E:1196050E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.4667689232, 34.012011869]}",bytearray(b'\x01\x01\x00\x00\x00\xb8\xfb\xc2\x8a\xdf\x9d]\xc0iB\xdc\x9a\x89\x01A@')
32588154_32588907$P5440745-1,32588154,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4705447527, 34.0153167592]}",bytearray(b'\x01\x01\x00\x00\x00\xa8\t\xbdg\x1d\x9e]\xc0\x1f\xecI\xe6\xf5\x01A@')
PME0937-2$ND32588673,-999999,UG_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4705605291, 34.0158460758], [-118.4706155739, 34.0159005957]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00x\xd1\xe8\xa9\x1d\x9e]\xc0\\\xaa\x84>\x07\x02A@\xe2\xb8\xc8\x90\x1e\x9e]\xc0\\B\xdd\x07\t\x02A@')
2059914E:32587601,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.4685901518, 34.0141519021]}",bytearray(b'\x01\x01\x00\x00\x00[M\x8ca\xfd\x9d]\xc0\x0cY\xc2\xba\xcf\x01A@')
185234638_293588A70CF3EE34E0637F61810A7CE3,185234638,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4652894865, 34.0127319273]}",bytearray(b'\x01\x01\x00\x00\x00+\xec\x8dM\xc7\x9d]\xc0-\xaf%3\xa1\x01A@')
ND152776783$PS0802,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.464292376, 34.0100545363], [-118.4641229163, 34.010162699]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xf0\xac^\xf7\xb6\x9d]\xc0\xdfJ\x90wI\x01A@J\xb5\x9a0\xb4\x9d]\xc0\x0b\xec\xe5\x02M\x01A@')
32588088_2255606E$920706E,32588088,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4605950665, 34.0155938286]}",bytearray(b'\x01\x01\x00\x00\x00A\xd4\xbacz\x9d]\xc0\x9f\xed\x83\xfa\xfe\x01A@')
219148125_X16066EPH$P5715659-1,219148125,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4691454703, 34.0145331783]}","bytearray(b'\x01\x01\x00\x00\x00S\x00\xb9z\x06\x9e]\xc0\xb2\xc0""9\xdc\x01A@')"
COURTLAND$WALGROVE_RCS1127-2$RCS1127-2,-999999,TIE_CABLE,"{'type': 'Point', 'coordinates': [-118.4584742203, 34.0174095058]}",bytearray(b'\x01\x01\x00\x00\x00\xd9\x8fA\xa4W\x9d]\xc0x\x06\x85y:\x02A@')
ND243240240$ND188127673,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4668201102, 34.0125205161], [-118.4678466029, 34.0135261734]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00%\x9bta\xe0\x9d]\xc0\xda\x96\xb3E\x9a\x01A@\x03\xc0\xe02\xf1\x9d]\xc0O2\xc49\xbb\x01A@')
5149666:PME0937-2,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.4704932604, 34.0157764392]}",bytearray(b'\x01\x01\x00\x00\x00\x03\x9a\xc3\x8f\x1c\x9e]\xc0\xa74]\xf6\x04\x02A@')
185228035$GS4483-4,-999999,UG_BUS,"{'type': 'LineString', 'coordinates': [[-118.4648259587, 34.0076953731], [-118.4648102919, 34.0077625859]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xb2\xbc`\xb5\xbf\x9d]\xc0\xc3\xe5w)\xfc\x00A@\x80\xa3\xaas\xbf\x9d]\xc0TIJ]\xfe\x00A@')
188730755_2033145E$2032830E,188730755,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4588193211, 34.0193416093]}",bytearray(b'\x01\x01\x00\x00\x00o\xb9\xb6K]\x9d]\xc0\xa0\xb2-\xc9y\x02A@')
188127752_2241303E$ND188127752,188127752,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4668427456, 34.0141189342]}",bytearray(b'\x01\x01\x00\x00\x00\x85.e\xc0\xe0\x9d]\xc0ZR4\xa6\xce\x01A@')
CAB_2059914E:2059914E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.4685881247, 34.0142545627]}",bytearray(b'\x01\x01\x00\x00\x00Z\xb8\x0bY\xfd\x9d]\xc0\xc2N\xf0\x17\xd3\x01A@')
32588948_ND32588948$825282EPH,32588948,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4666504842, 34.012080322]}",bytearray(b'\x01\x01\x00\x00\x00M\x13\xfe\x99\xdd\x9d]\xc0$\xf5\x15\xd9\x8b\x01A@')
5440745:P5440745-1,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.470582504, 34.0153583872]}",bytearray(b'\x01\x01\x00\x00\x00\xfd/\x14\x06\x1e\x9e]\xc0%_}C\xf7\x01A@')
32588088_920706E$920707E,32588088,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4605950665, 34.0155938286]}",bytearray(b'\x01\x01\x00\x00\x00A\xd4\xbacz\x9d]\xc0\x9f\xed\x83\xfa\xfe\x01A@')
ND32588926$RCS1127-3,-999999,UG_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4578688106, 34.0165841387], [-118.4577368641, 34.0166535879], [-118.4584753316, 34.017533296]]}",bytearray(b'\x01\x02\x00\x00\x00\x03\x00\x00\x00\xab\xd8\xfb\xb8M\x9d]\xc0\xa6\xac\xd6m\x1f\x02A@\xeb^\x8f\x8fK\x9d]\xc0\x1f\xb2k\xb4!\x02A@\xaa\xcf\xea\xa8W\x9d]\xc0\x9ft\xf2\x87>\x02A@')
206837136s_293588A3FEA2EE34E0637F61810A7CE3,206837136s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4601554748, 34.0157245448]}",bytearray(b'\x01\x01\x00\x00\x00\xd9\xd5\xf2/s\x9d]\xc0\x8b\xd4\nC\x03\x02A@')
32587877_293588A8BB21EE34E0637F61810A7CE3,32587877,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4584648027, 34.0188382697]}",bytearray(b'\x01\x01\x00\x00\x00\xab}\xc1|W\x9d]\xc0*#\xdcJi\x02A@')
5149666:PME0937-1,-999999,UG_SWITCH,"{'type': 'LineString', 'coordinates': [[-118.470404558, 34.0156860915], [-118.4704766894, 34.0157595609]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xf5\x1f\xb8\x1b\x1b\x9e]\xc0N\xffx\x00\x02\x02A@7\xa0BJ\x1c\x9e]\xc0\x19U\xc7h\x04\x02A@')
32587989s_293588A8BB25EE34E0637F61810A7CE3,32587989s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4576813577, 34.0200606668]}",bytearray(b'\x01\x01\x00\x00\x00\xdd\xd3\xbf\xa6J\x9d]\xc0\xc5\xeb\x11Y\x91\x02A@')
2059914E:32587601,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.4685881247, 34.0142545627]}",bytearray(b'\x01\x01\x00\x00\x00Z\xb8\x0bY\xfd\x9d]\xc0\xc2N\xf0\x17\xd3\x01A@')
185234637_920702E:185234635,185234637,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4653586769, 34.0128171896]}",bytearray(b'\x01\x01\x00\x00\x00\x80\x8c\xc2o\xc8\x9d]\xc0N\x14a\xfe\xa3\x01A@')
CAB_5304043:GS1151,-999999,UG_SWITCH_LOCATION,"{'type': 'Polygon', 'coordinates': [[[-118.4648141745, 34.0070138912], [-118.4647365338, 34.0073500658], [-118.4649398247, 34.0073821636], [-118.4650174643, 34.0070459889], [-118.4648141745, 34.0070138912]]]}","bytearray(b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00w\x8c\xf3\x83\xbf\x9d]\xc0.\xa9\xc8\xd4\xe5\x00A@Z{M>\xbe\x9d]\xc0\x02\x1e\xd2\xd8\xf0\x00A@rl\xf7\x92\xc1\x9d]\xc0,\x9e\x13\xe6\xf1\x00A@1O\x9c\xd8\xc2\x9d]\xc0^\xf2\t\xe2\xe6\x00A@w\x8c\xf3\x83\xbf\x9d]\xc0.\xa9\xc8\xd4\xe5\x00A@')"
32589086_900071E$ND32589086,32589086,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4588474085, 34.0215542968]}",bytearray(b'\x01\x01\x00\x00\x00)W\x85\xc1]\x9d]\xc0\x11\xec\x8bJ\xc2\x02A@')
32587840_920707E$920709E,32587840,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4593716054, 34.0163073211]}",bytearray(b'\x01\x01\x00\x00\x00\xdby)Xf\x9d]\xc0\xaag\xb9[\x16\x02A@')
CAB_900073E:900073E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.457679316, 34.0201633271]}",bytearray(b'\x01\x01\x00\x00\x00\xa4\x91/\x9eJ\x9d]\xc0\x8d<?\xb6\x94\x02A@')
1664039E:32587687,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.4672398432, 34.0117396918], [-118.467241872, 34.011637031]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xa9{\xf1A\xe7\x9d]\xc0N,\xac\xaf\x80\x01A@\xf5\xe3sJ\xe7\x9d]\xc0\xa5\xc8}R}\x01A@')"
32588754_PS0294$2059971E,32588754,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4583536141, 34.0180453124]}",bytearray(b'\x01\x01\x00\x00\x00\x07\xa4e\xaaU\x9d]\xc0SM\rOO\x02A@')
32587931_1664453E:32587928,32587931,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4567882685, 34.019021104]}",bytearray(b'\x01\x01\x00\x00\x00\xdb\x99\xdc\x04<\x9d]\xc0\x91\xce\x95Ho\x02A@')
32588686_915042E:PS0802,32588686,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4640460517, 34.0102059899]}",bytearray(b'\x01\x01\x00\x00\x00\xec\xf85\xee\xb2\x9d]\xc0\x02l\x0cnN\x01A@')
920709E:32587820,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.4593736447, 34.0162046607]}",bytearray(b'\x01\x01\x00\x00\x00_(\xb7`f\x9d]\xc0\xe8\xdf\x8b\xfe\x12\x02A@')
