CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
2032830E:188730736,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.4587192805, 34.0194024531]}",bytearray(b'\x01\x01\x00\x00\x00\xb3\xf2\x1c\xa8[\x9d]\xc0j\xc3\x92\xc7{\x02A@')
COURTLAND$WALGROVE_RCS1127-2$RCS1127-2,-999999,TIE_CABLE,"{'type': 'LineString', 'coordinates': [[-118.4585437729, 34.01749504], [-118.4584742203, 34.0174095058]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xf5\x18\xfb\xc7X\x9d]\xc04R\x08G=\x02A@\xd9\x8fA\xa4W\x9d]\xc0x\x06\x85y:\x02A@')
4426777E:4426777EPH1,-999999,POTHEAD,"{'type': 'LineString', 'coordinates': [[-118.4592171522, 34.0219811318], [-118.4591147737, 34.0218717093]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x85\x9dV\xd0c\x9d]\xc0\xe3\x1a\x19G\xd0\x02A@\xb9\x89\xee""b\x9d]\xc0X\x132\xb1\xcc\x02A@')"
32588112_2255566E:2255566E,32588112,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4590567282, 34.0171111789]}",bytearray(b'\x01\x01\x00\x00\x00-\xa8x/a\x9d]\xc0\xc1\xe2\xf8\xb20\x02A@')
188127740_CAB_2241303E:2241303E,188127740,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4671583893, 34.013932551]}",bytearray(b'\x01\x01\x00\x00\x00\x1d\x06M\xec\xe5\x9d]\xc0\x8br\xb5\x8a\xc8\x01A@')
32587619_2059914E$ND219148147,32587619,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4685881247, 34.0142545626]}",bytearray(b'\x01\x01\x00\x00\x00Z\xb8\x0bY\xfd\x9d]\xc0\xc8\x17\xf0\x17\xd3\x01A@')
ND152776783$365508E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4642923763, 34.010054536], [-118.4645130282, 34.0099401553]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00f\xff^\xf7\xb6\x9d]\xc0\xf2\xa5\x8fwI\x01A@\xd6+\xda\x94\xba\x9d]\xc0 \xf7\x10\xb8E\x01A@')
32587594_2059912E$ND187932891,32587594,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4678546065, 34.0135340159]}",bytearray(b'\x01\x01\x00\x00\x00\xd4\x8crT\xf1\x9d]\xc0G\xd6\x8d{\xbb\x01A@')
4611359EPH$788530E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4645984971, 34.0132557653], [-118.4644631199, 34.0133417149]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00-\xb4U\xfb\xbb\x9d]\xc069k]\xb2\x01A@\xcb\x8a\x85\xc3\xb9\x9d]\xc0\x83\x95j.\xb5\x01A@')
154374221_ND32588731$4611363EPH,154374221,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4649974378, 34.0107540671]}",bytearray(b'\x01\x01\x00\x00\x00\xc9\x04\x9d\x84\xc2\x9d]\xc0+?\xa7c`\x01A@')
32587603_CAB_2059914E:2059914E,32587603,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4685881247, 34.0142545626]}",bytearray(b'\x01\x01\x00\x00\x00Z\xb8\x0bY\xfd\x9d]\xc0\xc8\x17\xf0\x17\xd3\x01A@')
154374222_4611363E:4611363EPH,154374222,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4648930578, 34.0106468092]}",bytearray(b'\x01\x01\x00\x00\x00\xdc\xd8\xcf\xce\xc0\x9d]\xc0\x0e\xa9\xe8\xdf\\\x01A@')
32587959_CAB_900069E:900069E,32587959,TERMINAL,"{'type': 'Point', 'coordinates': [-118.4572093312, 34.0196139337]}",bytearray(b'\x01\x01\x00\x00\x00\x86;\xed\xeaB\x9d]\xc0\xca\xe4\x99\xb5\x82\x02A@')
CAB_5440745:P5440745,-999999,UG_TRANSFORMER_LOCATION,"{'type': 'Polygon', 'coordinates': [[[-118.470609895, 34.0155111428], [-118.4707525688, 34.0154227048], [-118.4705952151, 34.0152491929], [-118.4704525415, 34.0153376308], [-118.470609895, 34.0155111428]]]}",bytearray(b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\xbc\x0c\xf7x\x1e\x9e]\xc0Y\x86\xe5D\xfc\x01A@A\xe0a\xcf \x9e]\xc0\xae]\x06_\xf9\x01A@\x8d\xa0d;\x1e\x9e]\xc0\xe0e\x80\xaf\xf3\x01A@\x01\x04\xfa\xe4\x1b\x9e]\xc0\x91W_\x95\xf6\x01A@\xbc\x0c\xf7x\x1e\x9e]\xc0Y\x86\xe5D\xfc\x01A@')
920709E$828735E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4593716054, 34.0163073211], [-118.4589018499, 34.016581257]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xdby)Xf\x9d]\xc0\xaag\xb9[\x16\x02A@>Y\xdd\xa5^\x9d]\xc0RE\xaaU\x1f\x02A@')
1664039E$4314581E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.4672398432, 34.0117396918], [-118.4673915263, 34.0116520231]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xa9{\xf1A\xe7\x9d]\xc0N,\xac\xaf\x80\x01A@\xb5\xf8%\xbe\xe9\x9d]\xc0\xc8\x12A\xd0}\x01A@')"
900073E:32587986,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.457679316, 34.0201633271], [-118.4576813577, 34.0200606669]]}","bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\xa4\x91/\x9eJ\x9d]\xc0\x8d<?\xb6\x94\x02A@\xdd\xd3\xbf\xa6J\x9d]\xc0\xbf""\x12Y\x91\x02A@')"
293588A3FE9EEE34E0637F61810A7CE3,-999999,OH_TRANSFORMER,"{'type': 'Point', 'coordinates': [-118.4588302665, 34.0164973544]}","bytearray(b'\x01\x01\x00\x00\x00\x14B\x9fy]\x9d]\xc0,\xcf\xd6\x95\x1c\x02A@')"
