REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
METRO WEST,25,LA FRESA,B1C74AB01D68D8C0E053A040810A12E1,ABK_300_5021,SEC_B,LA FRESA,A-BANK,ABK_300_5021,SUB_299_5021,299,5021,LA FRESA,33.869533,-118.333371,T -- TRANSMISSION,,CKT_234_14480,PUEBLO,16
DESERT,3,SAN BERNARDINO,B1C74AB01D47D8C0E053A040810A12E1,ABK_142_8076,,SAN BERNARDINO,A-BANK,ABK_142_8076,SUB_798_5670,798,5670,DEL ROSA,34.149953,-117.251639,S -- SUB-TRANSMISSION,,CKT_3519_08701,HOSPAT,12
RURALS,65,KRAMER,B1C74AB01D4AD8C0E053A040810A12E1,ABK_1618_5042,,KRAMER,A-BANK,ABK_1618_5042,SUB_2205_8160,2205,8160,HARPER LAKE,35.025596,-117.346782,A -- DISTRICT POLE TOP,SUB_1616_5042,CKT_9410_14707,RAPTOR,12
ORANGE,53,VILLA PARK,B1C74AB01D85D8C0E053A040810A12E1,ABK_368_5082,,VILLA PARK,A-BANK,ABK_368_5082,SUB_956_5843,956,5843,ORANGE,33.790337,-117.861483,S -- SUB-TRANSMISSION,,CKT_690_17536,TAN,12
METRO WEST,2,ALAMITOS,B1C74AB01D46D8C0E053A040810A12E1,ABK_119_5025,,ALAMITOS,A-BANK,ABK_119_5025,SUB_889_5768,889,5768,BROADWAY,33.766964,-118.152118,S -- SUB-TRANSMISSION,SUB_888_5768,CKT_394_14590,QUINCY,4
METRO WEST,48,LIGHTHIPE,B1C74AB01D82D8C0E053A040810A12E1,ABK_357_5073,SEC_DEF,LIGHTHIPE,A-BANK,ABK_357_5073,SUB_877_5756,877,5756,BULLIS,33.900098,-118.206122,S -- SUB-TRANSMISSION,,CKT_116_19550,WINONA,16
DESERT,41,VISTA,B1C74AB01D79D8C0E053A040810A12E1,ABK_336_5064,,VISTA,A-BANK,ABK_336_5064,SUB_737_5610,737,5610,COLTON,34.058938,-117.314427,S -- SUB-TRANSMISSION,,CKT_2309_07370,GLOBE MILLS,12
RURALS,66,VICTOR,B1C74AB01D4BD8C0E053A040810A12E1,ABK_1622_8049,,VICTOR,A-BANK,ABK_1622_8049,SUB_1762_8260,1762,8260,VICTORVILLE,34.535523,-117.295065,D -- DISTRIBUTION,SUB_1623_8049,CKT_3983_04115,CORTA,4
DESERT,14,MWD,B1C74AB01D61D8C0E053A040810A12E1,ABK_234_4060,,MWD,A-BANK,ABK_234_4060,SUB_238_8273,238,8273,IRON MT. (SCE),34.147606,-115.121557,D -- DISTRIBUTION,,CKT_1113_15678,SALT,16
NORTH COAST,33,SAUGUS,B1C74AB01D4ED8C0E053A040810A12E1,ABK_316_5051,,SAUGUS,A-BANK,ABK_316_5051,SUB_668_5532,668,5532,SANTA SUSANA,34.279524,-118.717064,S -- SUB-TRANSMISSION,,CKT_2879_09877,KUEHNER,16
METRO WEST,25,LA FRESA,B1C74AB01D68D8C0E053A040810A12E1,ABK_300_5021,SEC_B,LA FRESA,A-BANK,ABK_300_5021,SUB_537_5264,537,5264,CREST,33.767008,-118.373119,S -- SUB-TRANSMISSION,,CKT_3119_11811,MICA,16
ORANGE,57,ELLIS,B1C83FDA0C2695B9E053A140810ACB23,ABK_376_5086,SEC_A,ELLIS,A-BANK,ABK_376_5086,SUB_1015_5809,1015,5809,SLATER,33.692404,-118.01746,S -- SUB-TRANSMISSION,,CKT_520_14662,RAMS,12
DESERT,63,MIRAGE,B1C74AB01D48D8C0E053A040810A12E1,ABK_1611_8012,,MIRAGE,A-BANK,ABK_1611_8012,SUB_1624_8099,1624,8099,TAMARISK,33.791911,-116.449938,S -- SUB-TRANSMISSION,,CKT_3661_03446,CHIA,12
ORANGE,58,OLINDA,B1C74AB01D88D8C0E053A040810A12E1,ABK_378_5087,,OLINDA,A-BANK,ABK_378_5087,SUB_928_5816,928,5816,PARKWOOD,33.915423,-117.963871,S -- SUB-TRANSMISSION,,CKT_224_14432,PRIVET,12
SAN JACINTO VALLEY,46,VALLEY,B1C83FDA0C2395B9E053A140810ACB23,ABK_350_5070,SEC_G,VALLEY,A-BANK,ABK_350_5070,SUB_1836_8347,1836,8347,PECHANGA,33.491006,-117.06388,S -- SUB-TRANSMISSION,,CKT_4964_12758,NOCHE,12
METRO WEST,26,EL NIDO,B1C74AB01D69D8C0E053A040810A12E1,ABK_301_5023,,EL NIDO,A-BANK,ABK_301_5023,SUB_2246_8836,2246,8836,HOLLYWOOD PARK,33.951063,-118.343558,S -- SUB-TRANSMISSION,,CKT_14790_17325,SUPER BOWL,12
METRO EAST,45,MIRA LOMA,B1C74AB01D7CD8C0E053A040810A12E1,ABK_343_5069,,MIRA LOMA,A-BANK,ABK_343_5069,SUB_789_5659,789,5659,ARCHIBALD,33.997728,-117.592729,S -- SUB-TRANSMISSION,,CKT_4053_04314,CREEKSIDE,12
NORTH COAST,34,ANTELOPE,B1C74AB01D72D8C0E053A040810A12E1,ABK_317_5052,,ANTELOPE,A-BANK,ABK_317_5052,SUB_584_5522,584,5522,SHUTTLE,34.642747,-118.16475,D -- DISTRIBUTION,,CKT_2182_12507,NASA,12
ORANGE,53,VILLA PARK,B1C74AB01D85D8C0E053A040810A12E1,ABK_368_5082,,VILLA PARK,A-BANK,ABK_368_5082,SUB_1003_5889,1003,5889,PLACENTIA,33.871748,-117.878842,S -- SUB-TRANSMISSION,,CKT_1238_18255,TUITION,12
