CKT_KEY,NODE_ID,BASE_VOLTAGE,PGEN,QGEN,PGEN_A,PGEN_B,PGEN_C,QGEN_A,QGEN_B,QGEN_C,PCAP,QCAP,PLOAD,QLOAD,PLOAD_A,PLOAD_B,PLOAD_C,QLOAD_A,QLOAD_B,QLOAD_C,VA,VA_ANGLE,VB,VB_ANGLE,VC,VC_ANGLE,IA,IA_ANGLE,IB,IB_ANGLE,IC,IC_ANGLE
CKT_4799_01085,BUS_606,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8255931,-13.5739985,,,,,4.4344966,-37.1249922,,,,
CKT_4799_01085,BUS_549,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7976853,-13.2929932,0.8349332,-132.0173772,0.8270023,105.8649647,19.9553823,-48.5146795,15.1500079,-166.4997104,11.3584619,99.4979854
CKT_4799_01085,BUS_69,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364272,-3.3294403,0.9493053,-123.0762753,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_711,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9731047,-3.3292560,0.9864895,-123.0762229,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_565,2078.4019398,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0161490,0.0070389,,,,,,,0.8244456,-13.6703657,,,,,0.0178068,-37.2214477,,,,
CKT_4799_01085,BUS_774,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8252715,-13.5983100,,,,,22.8694316,-39.0266455,,,,
CKT_4799_01085,BUS_696,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8618299,106.1185197,,,,,0.0000000,0.0000000
CKT_4799_01085,BUS_663,0.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,,,,,,,,
CKT_4799_01085,BUS_682,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364271,-3.3294708,0.9493048,-123.0762839,0.9438000,116.3361589,0.0090674,-0.9857742,0.0090674,179.0142242,0.0000000,0.0000000
CKT_4799_01085,BUS_479,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8818751,-130.9403621,0.8688659,106.8094123,,,0.0000000,0.0000000,0.0000000,0.0000000
CKT_4799_01085,BUS_1265,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8548227,105.5200494,,,,,13.6733399,77.7402218
CKT_4799_01085,BUS_1058,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8250022,-13.6199509,,,,,8.4984768,-39.6133880,,,,
CKT_4799_01085,BUS_1202,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364273,-3.3294233,0.9493056,-123.0762705,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_1289,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0255809,0.0111500,,,,,,,,,,,0.8512633,105.3915048,,,,,819.5036649,81.8404261
CKT_4799_01085,BUS_458,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0095040,0.0041420,,,,,,,,,0.8754927,-131.5016517,,,,,296.0350660,-155.0499623,,
CKT_4799_01085,BUS_467,2078.4019398,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0086910,0.0037880,,,,,,,0.8243085,-13.6819208,,,,,0.0095847,-37.2317894,,,,
CKT_4799_01085,BUS_1277,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8624515,-132.4351032,,,,,2.5925854,-155.9916440,,
CKT_4799_01085,BUS_1060,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0098220,0.0042811,,,,,,,,,0.8652746,-132.1744515,,,,,309.5597700,-155.7250014,,
CKT_4799_01085,BUS_1166,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000470,0.0000250,,,,,,,0.9730423,-3.3302841,0.9864913,-123.0761931,,,1.3677152,-31.3394520,0.0000000,0.0000000,,
CKT_4799_01085,BUS_1216,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364279,-3.3292560,0.9493083,-123.0762229,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_290,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8243351,-13.6796826,,,,,6.0957960,-37.2319867,,,,
CKT_4799_01085,BUS_1044,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8281299,-13.4038329,,,,,0.2411426,-41.1909957,,,,
CKT_4799_01085,BUS_1105,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364279,-3.3292560,0.9493083,-123.0762229,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_121,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7943453,-13.5847715,0.8318888,-132.2756431,0.8241309,105.6414598,23.1600485,-38.7628422,26.8675078,-156.2851567,18.6698851,81.9629872
CKT_4799_01085,BUS_396,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8293471,106.1185197,,,,,20.3447282,82.4825380
CKT_4799_01085,BUS_1021,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0142890,0.0062289,,,,,,,0.8229293,-13.6976703,,,,,473.5284367,-37.2512249,,,,
CKT_4799_01085,BUS_1078,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7947706,-13.5242852,0.8309816,-132.2976949,0.8250918,105.5986428,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
CKT_4799_01085,BUS_1121,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8543838,105.4774338,,,,,10.2564252,81.9190290
CKT_4799_01085,BUS_251,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364273,-3.3294233,0.9493056,-123.0762705,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_375,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7937135,-13.6404618,,,,,14.7197868,-37.2259602,,,,
CKT_4799_01085,BUS_1082,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0333290,0.0145278,,,,,,,0.8246729,-13.5355441,,,,,1102.1533613,-37.0874611,,,,
CKT_4799_01085,BUS_1037,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7970850,-13.3556300,0.8343783,-132.0724163,0.8261380,105.8092669,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
CKT_4799_01085,BUS_187,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9731038,-3.3294715,0.9864859,-123.0762841,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_307,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8321442,-132.2542543,,,,,33.4838084,-156.5998441,,
CKT_4799_01085,BUS_199,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364273,-3.3294233,0.9493056,-123.0762705,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_4799_01085,BUS_962,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364279,-3.3292560,0.9493083,-123.0762229,0.9438000,116.3361589,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
CKT_4799_01085,BUS_932,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8674227,-132.0380512,,,,,20.1364709,-159.8746667,,
CKT_4799_01085,BUS_852,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8246926,-13.6495540,,,,,11.9139301,-37.2336732,,,,
CKT_4799_01085,BUS_869,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0009650,0.0005080,,,,,,,,,0.9858951,-93.4766922,,,,,27.6529114,-121.2401321,,
CKT_4799_01085,BUS_93,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7957902,-13.4772755,0.8328014,-132.1983736,0.8258039,105.7084756,19.1292447,-41.2633215,19.1380621,-161.2332987,19.1423367,78.7288358
CKT_4799_01085,BUS_50,2078.4019398,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0298940,0.0157468,,,,,,,0.8276300,-13.4427820,,,,,0.0340216,-41.2209947,,,,
CKT_4799_01085,BUS_70,2078.4019398,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0349288,0.0152251,,,,,,,0.8277080,-13.3127945,,,,,0.0383629,-36.8647054,,,,
CKT_4799_01085,BUS_893,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8274106,-13.3376989,,,,,12.5857383,-36.9666342,,,,
CKT_4799_01085,BUS_35,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7956896,-13.5053354,,,,,6.6126405,-37.1212470,,,,
CKT_4799_01085,BUS_533,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7947438,-13.5251095,0.8309279,-132.3003470,0.8250772,105.5952812,4.4806009,-64.4314714,10.1787910,-170.7566625,7.7887566,104.7551509
CKT_4799_01085,BUS_602,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8561879,105.6233969,,,,,5.7728217,82.0714046
CKT_4799_01085,BUS_552,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8563592,105.6373052,,,,,3.6764529,82.0220176
CKT_4799_01085,BUS_622,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8457226,-131.2800530,,,,,32.0604615,-155.5586513,,
CKT_4799_01085,BUS_724,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.8316135,-132.2987712,,,,,6.6409349,-155.8713811,,
CKT_4799_01085,BUS_641,2078.4019398,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0337441,0.0147081,,,,,,,,,,,0.8616763,106.1061553,,,,,0.0356005,82.5552194
CKT_4799_01085,BUS_781,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.9364279,-3.3292560,0.9493083,-123.0762229,0.9438000,116.3361589,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
CKT_4799_01085,BUS_483,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.8620261,106.1353047,,,,,4.1277985,82.5142577
CKT_4799_01085,BUS_446,12.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.8247988,-13.6406209,,,,,11.9139301,-37.2336732,,,,
CKT_4799_01085,BUS_499,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7947706,-13.5242852,0.8309816,-132.2976949,0.8250918,105.5986428,7.9845395,-54.0210103,13.8121791,-168.2378761,11.2037108,96.4841429
