CKT_KEY,NODE_ID,BASE_VOLTAGE,PGEN,QGEN,PGEN_A,PGEN_B,PGEN_C,QGEN_A,QGEN_B,QGEN_C,PCAP,QCAP,PLOAD,QLOAD,PLOAD_A,PLOAD_B,PLOAD_C,QLOAD_A,QLOAD_B,QLOAD_C,VA,VA_ANGLE,VB,VB_ANGLE,VC,VC_ANGLE,IA,IA_ANGLE,IB,IB_ANGLE,IC,IC_ANGLE
CKT_114_16955,BUS_69,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,0.7970527,149.1310133,,,,,0.0000000,0.0000000
CKT_114_16955,BUS_290,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0124613,-0.8057638,1.0076608,-120.8278523,1.0134857,119.5254726,0.0468948,101.5885397,0.0468948,101.5885397,0.0468948,101.5885397
CKT_114_16955,BUS_121,16.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,0.7854768,-120.6767486,0.7889672,119.6196835,,,0.0502535,-144.2957819,0.0000000,0.0000000
CKT_114_16955,BUS_396,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0154038,-0.9118900,1.0100862,-120.9308606,1.0170020,119.4603646,40.8929333,70.1230633,36.0649963,-46.1006860,40.7442515,-153.9411886
CKT_114_16955,BUS_251,16.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7878444,-0.6280886,0.7852940,-120.6485243,0.7886473,119.6294358,0.4746174,-24.3085245,0.0000000,0.0000000,0.0000000,0.0000000
CKT_114_16955,BUS_375,16.0000000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,0.7949163,-1.0323281,0.7905640,-121.0409804,0.7962296,119.3620656,14.2010943,88.9258530,14.0094538,-32.1791123,13.5502993,-156.7035740
CKT_114_16955,BUS_187,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0195073,-1.0475777,,,1.0215289,119.3745779,0.0000000,0.0000000,,,0.0000000,0.0000000
CKT_114_16955,BUS_307,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0194904,-1.0595328,1.0139315,-121.0600664,,,0.6887875,0.9333200,0.6887875,-179.0666784,,
CKT_114_16955,BUS_199,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0110350,-0.6449689,1.0077101,-120.6607528,,,0.6612288,5.6298222,0.6612288,-174.3701762,,
CKT_114_16955,BUS_93,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0046901,-0.2875123,1.0027622,-120.3262884,1.0049266,119.8258244,70.1888357,58.7997139,59.9413410,-69.0333528,61.7083431,-163.3202007
CKT_114_16955,BUS_50,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0049490,0.0021580,,,,,,,0.7828490,-0.7883923,0.7854202,-120.6597758,,,172.4121098,-24.3478532,0.0000000,0.0000000,,
CKT_114_16955,BUS_70,12.4700000,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,1.0124088,-0.8142483,1.0075582,-120.8209279,,,0.0000000,0.0000000,0.0000000,0.0000000,,
CKT_114_16955,BUS_35,0.0692840,0.0000000,0.0000000,,,,,,,0.0000000,0.0000000,0.0125361,0.0066040,,,,,,,0.7842050,-1.2906019,0.7902377,-121.0599651,,,451.6944252,-29.0709299,0.0000000,0.0000000,,
