CKT_KEY,NODE_ID,BASE_VOLTAGE,PGEN,QGEN,PGEN_A,PGEN_B,PGEN_C,QGEN_A,QGEN_B,QGEN_C,PCAP,QCAP,PLOAD,QLOAD,PLOAD_A,PLOAD_B,PLOAD_C,QLOAD_A,QLOAD_B,QLOAD_C,VA,VA_ANGLE,VB,VB_ANGLE,VC,VC_ANGLE,IA,IA_ANGLE,IB,IB_ANGLE,IC,IC_ANGLE
CKT_114_16955,-8888882184714,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,1.03,-120.0,1.03,120.0,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295306,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030051,-0.0028717,1.0300417,-120.0029623,1.0300485,119.9973163,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295298,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030051,-0.0028733,1.0300418,-120.0029639,1.0300486,119.9973148,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,60681169,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030051,-0.0028733,1.0300418,-120.0029639,1.0300486,119.9973148,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295605,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304486,-0.014009,1.0303932,-120.0143022,1.0304496,119.9874342,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55345873,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304472,-0.0139864,1.0303918,-120.0142796,1.0304481,119.9874568,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295743,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304487,-0.0140146,1.0303932,-120.0143073,1.0304496,119.9874289,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,246248050,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304373,-0.0141809,1.0303824,-120.013894,1.0304475,119.9875225,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295452,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300511,-0.0028828,1.0300418,-120.0029733,1.0300487,119.9973059,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55347359,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300513,-0.0029011,1.030042,-120.0029916,1.0300489,119.9972887,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55345380,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300513,-0.0029011,1.0300415,-120.0030231,1.0300481,119.9972991,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55346817,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300516,-0.0029241,1.0300422,-120.0030133,1.0300491,119.9972667,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295574,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300513,-0.0029011,1.0300413,-120.0030315,1.0300479,119.9973018,0.0,-0.0,0.0,180.0,0.0,0.0
CKT_114_16955,55295549,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029087,179.811352,1.0300381,-120.0031864,1.0300439,119.9973804,0.0,180.0,0.0,180.0,0.0,0.0
